name,entropy,label
103.0,6.4403471036557125,1
66.0,6.219012552436425,1
37.0,6.045116499314372,1
30.0,0.0,1
62.0,5.215642582098901,1
42.0,3.7233758408227935,1
45.0,1.0437212031225669,1
107.0,0.0,1
91.0,1.3751244045271247,1
92.0,6.729569281542241,1
94.0,4.284678346980153,1
103.0,6.632676376585754,1
91.0,5.265208620968622,1
37.0,1.1171153734405526,1
78.0,0.0,1
80.0,0.0,1
79.0,0.0,1
90.0,5.995589470522454,1
94.0,6.393894034002716,1
92.0,1.743423819432485,1
206.0,7.9991208318285265,1
103.0,5.390563948892011,1
94.0,3.5809928384245286,1
92.0,0.0980041756627077,1
256.0,0.1387295181488782,1
224.0,7.999965885615185,1
103.0,4.33802625854142,1
94.0,4.173269500753358,1
92.0,0.0776331623432416,1
256.0,0.1222758812591388,1
103.0,5.936126400499626,1
91.0,5.3004106040926295,1
37.0,4.017746472088102,1
139.0,4.8292159200679565,1
134.0,7.996170368519734,1
138.0,7.9392836178297985,1
143.0,7.948170460045363,1
147.0,7.973846901200773,1
153.0,0.6138392741996215,1
158.0,7.997299951065932,1
130.0,7.993943682333596,1
131.0,7.811155746613752,1
62.0,3.984853597051859,1
45.0,2.314838274800972,1
99.0,5.465154165849433,1
91.0,5.364386433196774,1
91.0,5.328718158718443,1
91.0,5.377429892667916,1
91.0,5.336295045698533,1
103.0,6.471857680589521,1
91.0,3.081657808891759,1
37.0,0.0,1
92.0,4.718222955944676,1
103.0,6.022678827344498,1
91.0,4.422592741875364,1
37.0,0.0,1
85.0,3.135522275406119,1
103.0,6.221318757117847,1
37.0,5.485443337353574,1
62.0,4.308637895040659,1
99.0,0.0203931352360849,1
103.0,6.15831390823047,1
37.0,4.214424703392558,1
62.0,5.081657043134298,1
17.0,0.1144633812591388,1
92.0,5.070368155770053,1
103.0,5.961023103240112,1
37.0,4.217814034434569,1
62.0,5.051979980365276,1
17.0,0.1144633812591388,1
92.0,5.087439544354366,1
103.0,6.007321750019173,1
37.0,4.191923485543098,1
62.0,5.081657043134298,1
17.0,0.1144633812591388,1
92.0,5.015778781172283,1
103.0,6.007599975598438,1
37.0,4.211475924087233,1
62.0,5.081657043134298,1
17.0,0.1144633812591388,1
92.0,5.015778781172283,1
103.0,5.932049115220907,1
91.0,3.2943135466935,1
37.0,3.117489290828624,1
17.0,0.0,1
94.0,0.0,1
92.0,0.0,1
103.0,6.34022335737721,1
91.0,6.181274430024399,1
37.0,3.117489290828624,1
17.0,0.0611628522411544,1
94.0,4.717678832946755,1
92.0,6.456838126950119,1
18.0,7.999931465786242,1
19.0,5.812286626341563,1
94.0,3.245627431260938,1
103.0,6.670341666617565,1
91.0,6.577072796680848,1
37.0,3.856550298198608,1
94.0,3.873872880571648,1
92.0,6.566827152364541,1
103.0,6.222569485142045,1
37.0,2.345864252300847,1
91.0,5.656508583085519,1
85.0,3.065778933086647,1
119.0,3.808835973766013,1
30.0,0.0,1
62.0,3.8435025322737126,1
17.0,0.2709192282599745,1
107.0,0.0,1
1.0,7.999736048005263,1
103.0,5.86339639769305,1
94.0,4.087408226681238,1
92.0,0.0776331623432416,1
256.0,0.1222758812591388,1
242.0,7.99975911668216,1
103.0,5.859625094522232,1
94.0,4.128777049714596,1
92.0,0.0926235360100447,1
256.0,0.1426357681488782,1
103.0,6.756817670257631,1
94.0,6.247524226226202,1
92.0,0.1019104256627077,1
103.0,2.534718492942083,1
94.0,4.278849863903188,1
92.0,0.1019104256627077,1
103.0,7.345611809225492,1
94.0,2.306221494375098,1
92.0,0.1222758812591388,1
206.0,7.9991208318285265,1
103.0,5.390563948892011,1
94.0,3.5809928384245286,1
92.0,0.0980041756627077,1
256.0,0.1387295181488782,1
103.0,7.246863702794709,1
94.0,6.490788440508721,1
92.0,0.1019104256627077,1
103.0,6.112312228758639,1
234.0,0.0,1
91.0,4.070725795386193,1
37.0,3.2601859557904405,1
85.0,3.582787997773265,1
92.0,1.2285749936381305,1
103.0,6.382469311600107,1
66.0,5.737845180159417,1
37.0,6.187117366002509,1
30.0,0.0,1
62.0,4.813955576912397,1
42.0,2.0021130290359523,1
45.0,1.3058156906749276,1
107.0,0.0,1
91.0,0.2069200177871818,1
94.0,7.962255325974226,1
103.0,6.382469311600107,1
66.0,5.737845180159417,1
37.0,6.18596461134545,1
30.0,0.0,1
